2025-04-19 23:06:29,408 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.34951644262082193, 0.08617409592356023, 0.5018098352559753], 'cointegration_vectors': [(0.7341976646370264, 73.3087898788063), (1.1017917360209566, 60.74916931019681), (0.6142028674264249, 77.48514817973478)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.335229620264119, -3.106367722705703, -2.030205649145255], 'adf_pvalues': [0.16085727068039873, 0.026085523390062475, 0.2734879938901471], 'residual_std': [4.056387277357257, 4.482486929349971, 4.165772606346529]}
2025-04-19 23:06:29,442 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.8009476395457129, 0.27894587880237676, 0.08524750565063616], 'cointegration_vectors': [(0.2294786439046257, 20.42973587754212), (0.5430394155849005, -16.345797651533815), (0.32388724154087534, 7.955878725887161)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.348990119744029, -2.495135354530703, -3.1136405698707152], 'adf_pvalues': [0.6064721679926186, 0.11666243669150328, 0.025560056247199942], 'residual_std': [2.2221618565170025, 3.258269670811469, 1.8542999507938869]}
2025-04-19 23:06:29,481 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.40559853790331485, 0.025883787401921807, 0.2059245915625258], 'cointegration_vectors': [(2.2983831886185633, 35.35139706566476), (2.1512994998933594, 43.76199496811979), (2.4847879674432467, 28.134603683922982)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.2273048371803115, -3.5741752349562583, -2.6612272544161932], 'adf_pvalues': [0.19648502801294743, 0.006274373916311121, 0.0809912894831572], 'residual_std': [5.939127197135723, 6.718528233636353, 4.716648921243584]}
2025-04-19 23:06:29,512 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.8740214438811531, 0.03377914580619845, 0.21621972949055046], 'cointegration_vectors': [(0.25639788537194674, 14.924941419595987), (0.4909507069733547, -14.584728407988464), (0.3424028054375459, 2.4687545801292026)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.1135031578140993, -3.4773205029944236, -2.613573989825141], 'adf_pvalues': [0.7096570714083715, 0.008589017114495303, 0.09022412722561013], 'residual_std': [2.0758630806102163, 2.614909988074296, 1.5116655643497983]}
2025-04-19 23:06:29,545 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.5865066551774829, 0.33051987925502113, 0.23778383169710782], 'cointegration_vectors': [(0.774695738983151, -2.0971137156901247), (0.8546918893660036, -5.59498187036776), (0.6964640262583123, 1.8325098033232992)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.881729902408984, -2.382134455853369, -2.5750844367622334], 'adf_pvalues': [0.34070414553962935, 0.14684244424945803, 0.0982569198228393], 'residual_std': [1.5869416768995488, 1.3567881426833763, 0.7782077250075239]}
2025-04-19 23:06:29,572 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.13800812579513594, 0.07389572235534639, 0.8188668279397968], 'cointegration_vectors': [(0.6614956732514952, -10.242165632563536), (0.5789453377797573, -6.025648831003067), (0.6715271357252307, -10.811920188808656)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.8809440771666073, -3.170449976548132, -1.3239296414160964], 'adf_pvalues': [0.04760924037854184, 0.021760142650699355, 0.6181546179657033], 'residual_std': [0.9586609961327801, 1.0734004462131679, 1.1069465071543956]}
2025-04-19 23:06:29,611 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.5654888851477158, 0.1436197837391629, 0.15229171248029788], 'cointegration_vectors': [(0.905497206091311, -14.845768056532334), (0.8786153137596107, -13.227778501169551), (0.6970583121110981, -6.131215243561792)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.9193835218395456, -2.8666029728701923, -2.8314316489244526], 'adf_pvalues': [0.32299814827759554, 0.04937173356462185, 0.05392235078255571], 'residual_std': [1.5205301074113775, 1.358431730951115, 1.0039551629196495]}
2025-04-19 23:06:29,660 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.195231143039162, 0.5475839303732631, 0.5400214933082357], 'cointegration_vectors': [(0.35913490811357496, 34.92851860761036), (0.8335107178260368, 19.12821064976012), (0.4199668635401723, 33.2742660185633)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.672140695996643, -1.9620443993016736, -1.9316357328743592], 'adf_pvalues': [0.07898445382313796, 0.30345914663017964, 0.3173280968960449], 'residual_std': [1.8529102195401392, 3.6562741733135677, 2.2881942864500524]}
2025-04-19 23:06:29,683 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.4768044722454983, 0.097507741899451, 0.6681602438776036], 'cointegration_vectors': [(0.9290120181180446, 33.432074170612786), (1.3972893862029017, -20.909614665908986), (0.8791542407437941, 38.89899008986344)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-2.0902922162519326, -3.043928434218275, -1.706810495149158], 'adf_pvalues': [0.24843602493127226, 0.030990738431770238, 0.4276069651898585], 'residual_std': [4.628104217214532, 5.890293799150933, 5.805660789787389]}
2025-04-19 23:06:29,706 - INFO - {'windowsizes': [120, 250, 60], 'p_values': [0.6606073316408319, 0.07377832403298175, 0.8835952730932183], 'cointegration_vectors': [(0.8487382271545444, 11.032231345390601), (0.7778514236404344, 20.77659384512572), (0.7717805556114276, 20.319398618469318)], 'date_ranges': ['2024-10-18 - 2025-04-11', '2024-04-15 - 2025-04-11', '2025-01-16 - 2025-04-11'], 'adf_stats': [-1.7196736173700726, -3.1610916931486264, -1.336518833125163], 'adf_pvalues': [0.4210056034641549, 0.022350228408482, 0.6123037857788487], 'residual_std': [4.689601647539587, 4.104748847094204, 5.529980206428172]}
